VARIABLE_ID,VARIABLE_LABEL,VARIABLE_DESCRIPTION,VARIABLE_DATA_TYPE,VARIABLE_REQUIRED
FREQ,Frequency of observation,Time interval at which observations occur over a given time period.,String,True
FREQ_LABEL,Frequency of observation label,Time interval at which observations occur over a given time period.,String,True
REF_AREA,Reference area,Country or geographic area to which the measured statistical phenomenon relates.,String,True
REF_AREA_LABEL,Reference area label,Country or geographic area to which the measured statistical phenomenon relates.,String,True
INDICATOR,Statistical indicator,"Data element that represents statistical data for a specified time, place, and other characteristics, and is corrected for at least one dimension (usually size) to allow for meaningful comparisons.",String,True
INDICATOR_LABEL,Statistical indicator label,"Data element that represents statistical data for a specified time, place, and other characteristics, and is corrected for at least one dimension (usually size) to allow for meaningful comparisons.",String,True
SEX,Sex,State of being male or female.,String,True
SEX_LABEL,Sex label,State of being male or female.,String,True
AGE,Age,Length of time that an entity has lived or existed.,String,True
AGE_LABEL,Age label,Length of time that an entity has lived or existed.,String,True
URBANISATION,Degree of urbanisation,"Refers to Total, Urban, or Rural location.",String,True
URBANISATION_LABEL,Degree of urbanisation label,"Refers to Total, Urban, or Rural location.",String,True
UNIT_MEASURE,Unit of measure,Unit in which the data values are expressed.,String,True
UNIT_MEASURE_LABEL,Unit of measure label,Unit in which the data values are expressed.,String,True
COMP_BREAKDOWN_1,Custom Dimension 1,,String,True
COMP_BREAKDOWN_1_LABEL,Custom Dimension 1 label,,String,True
COMP_BREAKDOWN_2,Custom Dimension 2,,String,True
COMP_BREAKDOWN_2_LABEL,Custom Dimension 2 label,,String,True
COMP_BREAKDOWN_3,Custom Dimension 3,,String,True
COMP_BREAKDOWN_3_LABEL,Custom Dimension 3 label,,String,True
TIME_PERIOD,Time period,Timespan or point in time to which the observation actually refers.,ObservationalTimePeriod,True
OBS_VALUE,Observation value,Value of a particular variable.,Float,False
AGG_METHOD,Aggregation method,,String,False
AGG_METHOD_LABEL,Aggregation method label,,String,False
DECIMALS,Decimals,Number of digits of an observation to the right of a decimal point.,String,False
DECIMALS_LABEL,Decimals label,Number of digits of an observation to the right of a decimal point.,String,False
DATABASE_ID,Identifier of database ID,,String,True
DATABASE_ID_LABEL,Identifier of database ID,,String,True
COMMENT_TS,"Title complement, detailed description of the series",,,False
UNIT_MULT,Unit multiplier,Exponent in base 10 specified so that multiplying the observation numeric values by 10^UNIT_MULT gives a value expressed in the unit of measure.,,True
UNIT_MULT_LABEL,Unit multiplier label,Exponent in base 10 specified so that multiplying the observation numeric values by 10^UNIT_MULT gives a value expressed in the unit of measure.,,True
DATA_SOURCE,Data source,Location or service from where data or metadata can be obtained.,String,False
DATA_SOURCE_LABEL,Data source label,Location or service from where data or metadata can be obtained.,String,False
UNIT_TYPE,Unit Type,,String,True
UNIT_TYPE_LABEL,Unit Type label,,String,True
TIME_FORMAT,Time format,Technical format for the representation of time.,,False
TIME_FORMAT_LABEL,Time format label,Technical format for the representation of time.,,False
COMMENT_OBS,Comments to the observation value,,,False
OBS_STATUS,Observation status,Information on the quality of a value or an unusual or missing value.,String,False
OBS_STATUS_LABEL,Observation status label,Information on the quality of a value or an unusual or missing value.,String,False
OBS_CONF,Observation confidentiality,,String,False
OBS_CONF_LABEL,Observation confidentiality label,,String,False
